similarity (false positives) (text), 3758880
diceVariantNormalizedPadding5grams, 0
diceNormalizedPadding2grams, 0
optimalAlignmentShingle3FingerprintNormalized, no result
winnowing2GramDice, 0
manhattanNormalized4Grams, 0
jaccardTokens, 0
diceVariantNormalizedShingles3, no result
levenshteinNormalized, 0
winnowingShingle2Jaccard, no result
overlapNormalizedPadding2grams, 0
jaccardNormalized5Grams, 0
winnowingNormalizedShingle2Jaccard, no result
jaccardNormalized4Grams, 0
overlapTokens, 0
jaccardNormalizedTokens, 0
overlapNormalizedShingles3, no result
winnowingNormalized3GramOverlap, 0
diceVariant4Grams, 0
optimalAlignment3GramFingerprint, 0
cosineNormalizedShingle3TermFrequency, no result
optimalAlignment5GramFingerprint, 0
overlapNormalizedTokens, 0
winnowingShingle3Jaccard, no result
longestCommonSubsequenceNormalized, 0
manhattanNormalized3Grams, 0
manhattanNormalized2Grams, 0
cosineNormalizedShingle3NormalizedTermFrequency, no result
winnowingNormalizedShingle2DiceVariant, no result
manhattanNormalizedShingles3, no result
overlapNormalizedPadding4grams, 0
jaccardNormalizedPadding3grams, 0
longestCommonSubsequence3GramFingerprint, 0
winnowingNormalizedShingle3DiceVariant, no result
winnowing4GramJaccard, 0
diceNormalizedShingles3, no result
diceVariantShingles2, no result
cosineNormalized3GramsNormalizedTermFrequency, 0
jaccardNormalized3Grams, 0
optimalAlignmentShingle2Fingerprint, no result
jaccardNormalizedShingles2, no result
manhattanNormalized5Grams, 0
dice5Grams, 0
longestCommonSubsequence4GramFingerprintNormalized, 0
winnowingNormalized2GramDice, 0
levenshteinStandard, 0
winnowing2GramDiceVariant, 0
longestCommonSubsequence5GramFingerprint, 0
winnowingNormalized4GramOverlap, 0
dice2Grams, 0
diceNormalizedTokens, 0
winnowingShingle3Dice, no result
cosineNormalizedTokensTermFrequency, 0
winnowingTokenJaccard, 0
winnowing3GramDice, 0
cosineNormalized3GramsBool, 0
longestCommonSubsequenceShingle3Fingerprint, no result
manhattanNormalizedShingles2, no result
winnowing2GramJaccard, 0
optimalAlignment2GramFingerprint, 0
winnowing4GramOverlap, 0
diceVariantNormalized2Grams, 0
winnowing4GramDiceVariant, 0
winnowingNormalizedTokenJaccard, 0
diceVariantNormalized5Grams, 0
cosineNormalized5GramsTermFrequency, 0
winnowing3GramJaccard, 0
diceVariant3Grams, 0
winnowing3GramDiceVariant, 0
jaccardNormalizedPadding2grams, 0
cosineNormalized4GramsBool, 0
winnowingNormalizedShingle2Dice, no result
jaccardNormalized2Grams, 0
diceVariantNormalizedPadding3grams, 0
cosineNormalizedShingle2TermFrequency, no result
diceNormalized4Grams, 0
winnowingNormalized4GramDiceVariant, 0
longestCommonSubsequenceStandard, 0
longestCommonSubsequence2GramFingerprint, 0
diceVariant5Grams, 0
jaccard5Grams, 0
optimalAlignmentNormalized, 0
optimalAlignment4GramFingerprintNormalized, 0
winnowing2GramOverlap, 0
winnowingNormalizedShingle3Jaccard, no result
cosineNormalized2GramsBool, 0
damerauLevenshteinNormalized, 0
winnowingShingle3DiceVariant, no result
cosineNormalized4GramsNormalizedTermFrequency, 0
overlap4Grams, 0
longestCommonSubsequence3GramFingerprintNormalized, 0
winnowingShingle2Overlap, no result
overlapShingles3, no result
winnowingNormalizedShingle3Overlap, no result
optimalAlignment3GramFingerprintNormalized, 0
jaccard4Grams, 0
optimalAlignmentShingle3Fingerprint, no result
